"Story","Title","Result","Date","Stability","Duration (s)"
"Full Saucedemo Navigation","About page and back Navigation","SUCCESS","2023-01-31T16:07:36.369675-03:00[America/Asuncion]","0.0","33.81"
"Full Saucedemo Navigation","Order products and go through the full buying process","SUCCESS","2023-01-31T16:08:10.184374-03:00[America/Asuncion]","0.0","5.85"
